city,N,dist,improver,strategy,cf,sl_var,acceptance,constructor,overflows,kg,ncol,kg_lost,km,kgkm,reward,profit,time,days
Rio Maior,100,Gamma-3,CLS,SL,,SL1,custom,ACO_HH,3.0,19436.823991940077,1818.0,10.213923393476191,2607.9989999999993,7.452772793218127,16825.824991940077,8737.275164095423,296.83250816000145,21
Rio Maior,100,Gamma-3,CLS,SL,,SL1,custom_bmc,ALNS,2.0,19453.958068067575,1882.0,5.262289588266499,2536.9880000000003,7.668131685316435,16914.970068067574,8818.287324331046,1204.536538245,20
Rio Maior,100,Gamma-3,CLS,SL,,SL1,custom,BPC,2.0,19454.193502769314,1866.0,5.262289588266499,2644.2780000000002,7.35709085911894,16807.915502769312,8711.134747566448,542.526898166001,20
Rio Maior,100,Gamma-3,CLS,SL,,SL1,custom_oi,HGS,3.0,19453.504548476296,1522.0,5.95124388128348,2172.66,8.953773047083436,17277.844548476296,9182.350604945615,1338.7968735700015,16
Rio Maior,100,Gamma-3,CLS,SL,,SL1,custom,PG-CLNS,2.0,19453.958068067575,1891.0,5.262289588266499,2527.816,7.69595495402655,16924.142068067576,8827.459324331048,1323.053800212001,20
Rio Maior,100,Gamma-3,CLS,SL,,SL1,bmc,PSOMA,2.0,19470.227257618677,1828.0,5.262289588266499,2651.5640000000003,7.342921859558613,16816.663257618675,8713.20765027202,617.0642301190019,20
Rio Maior,100,Gamma-3,CLS,SL,,SL1,new,SANS,2.0,19470.227257618677,1998.0,5.262289588266499,2905.0459999999994,6.702209623399657,16563.18125761868,8459.72565027202,1210.3335430070001,20
Rio Maior,100,Gamma-3,CLS,SL,,SL1,gurobi,SWC-TCF,2.0,19470.227257618677,1946.0,5.262289588266499,2687.3889999999997,7.24503496055788,16780.838257618678,8677.382650272022,370.13716607600145,20
Rio Maior,100,Gamma-3,CLS,SL,,SL2,custom,ACO_HH,1.0,19440.613787632577,2644.0,0.0,3679.0839999999994,5.284090764884025,15760.529787632579,7668.4022678411375,357.8175394110003,30
Rio Maior,100,Gamma-3,CLS,SL,,SL2,custom_bmc,ALNS,1.0,19447.311112911433,2723.0,0.0,3653.6049999999996,5.322773291834075,15792.706112911434,7697.790496606405,1804.822752805001,30
Rio Maior,100,Gamma-3,CLS,SL,,SL2,custom,BPC,1.0,19440.613787632577,2681.0,0.0,3803.025999999999,5.11188032572814,15636.58778763258,7544.460267841137,802.5606118180003,30
Rio Maior,100,Gamma-3,CLS,SL,,SL2,custom_oi,HGS,1.0,19444.5979749152,2705.0,0.0,3690.5160000000005,5.2688019710293075,15753.0819749152,7659.2958379579995,1976.0795799379994,30
Rio Maior,100,Gamma-3,CLS,SL,,SL2,custom,PG-CLNS,1.0,19445.128632976917,2726.0,0.0,3644.019,5.33617652185044,15800.109632976917,7706.102583068628,1945.3138806099996,30
Rio Maior,100,Gamma-3,CLS,SL,,SL2,bmc,PSOMA,1.0,19440.301169997885,2591.0,0.0,3777.8289999999997,5.145892302165579,15661.472169997885,7569.474792927765,834.6358965979998,30
Rio Maior,100,Gamma-3,CLS,SL,,SL2,new,SANS,1.0,19475.489547206944,2999.0,0.0,4358.383,4.468512644989425,15116.106547206944,7009.460248704691,1812.4109955249987,30
Rio Maior,100,Gamma-3,CLS,SL,,SL2,gurobi,SWC-TCF,1.0,19471.596725291787,2887.0,0.0,3915.789,4.972585786744839,15554.807725291786,7449.782008552814,590.2961776199991,30
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,custom,ACO_HH,2.0,19452.70796413236,1826.0,5.262289588266499,3132.4059999999995,6.210148992222709,16318.301964132363,8222.139638664064,403.71376015499845,21
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,custom_bmc,ALNS,2.0,19453.958068067575,1882.0,5.262289588266499,3125.734,6.2238047345255785,16326.224068067575,8229.541324331045,1245.059079104998,20
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,custom,BPC,2.0,19454.193502769314,1866.0,5.262289588266499,3083.4840000000004,6.309159866816015,16368.709502769314,8271.928747566448,587.2902405029963,20
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,custom_oi,HGS,2.0,19447.913625783614,1854.0,5.262289588266499,3091.7580000000003,6.290244458260839,16354.155625783615,8259.989183369895,1379.0276197240019,20
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,custom,PG-CLNS,2.0,19453.958068067575,1891.0,5.262289588266499,3129.5039999999995,6.216307142623106,16322.454068067576,8225.771324331046,1360.3272635829999,20
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,bmc,PSOMA,2.0,19470.227257618677,1828.0,5.262289588266499,3185.031,6.113041680793272,16283.196257618678,8179.7406502720205,723.558211026997,20
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,new,SANS,2.0,19470.227257618677,1998.0,5.262289588266499,3362.526,5.790357385375958,16105.701257618677,8002.2456502720215,1247.371746427998,20
Rio Maior,100,Gamma-3,FTSP,SL,,SL1,gurobi,SWC-TCF,2.0,19470.227257618677,1946.0,5.262289588266499,3274.6429999999996,5.945755692336135,16193.584257618677,8090.128650272021,403.69697600299696,20
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,custom,ACO_HH,1.0,19433.781902625436,2631.0,0.0,4451.000999999999,4.366159859911386,14981.780902625436,6892.497496562466,451.6310822960004,30
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,custom_bmc,ALNS,1.0,19447.311112911433,2723.0,0.0,4511.7970000000005,4.3103249354772455,14934.514112911433,6839.5984966064025,1866.491576970002,30
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,custom,BPC,1.0,19440.613787632577,2681.0,0.0,4418.652,4.399670711255961,15020.961787632577,6928.834267841138,867.4903220739943,30
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,custom_oi,HGS,1.0,19445.80414562661,2693.0,0.0,4464.295,4.355851068450138,14980.509145626611,6886.220879802253,2060.457389575,30
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,custom,PG-CLNS,1.0,19445.128632976917,2727.0,0.0,4507.808999999999,4.313654068523515,14936.319632976918,6842.312583068627,2014.778580187005,30
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,bmc,PSOMA,1.0,19440.301169997885,2591.0,0.0,4560.620999999999,4.262643436057916,14878.680169997886,6786.682792927764,933.383425518994,30
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,new,SANS,1.0,19475.489547206944,2999.0,0.0,5054.359999999998,3.8532058553816806,14420.129547206947,6313.483248704691,1869.1583123559976,30
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,gurobi,SWC-TCF,1.0,19471.596725291787,2887.0,0.0,4759.432000000002,4.091159769756513,14711.164725291786,6606.139008552814,651.4475188029974,30
Rio Maior,170,Empirical,CLS,LA,,,custom,ACO_HH,4.0,13268.175,1318.0,1.9000000000000001,2541.397,5.220819494160102,10722.777999999998,5203.236747499999,169.47343097801786,14
Rio Maior,170,Empirical,CLS,LA,,,custom_bmc,ALNS,4.0,13280.525000000001,1409.0,1.9000000000000001,2549.2159999999994,5.2096507318328475,10727.309000000001,5202.6264425,846.1917755590111,14
Rio Maior,170,Empirical,CLS,LA,,,custom,BPC,4.0,13287.175,1388.0,1.9000000000000001,2635.09,5.042398931345798,10648.085,5120.634047500001,475.3863905540202,14
Rio Maior,170,Empirical,CLS,LA,,,custom_oi,HGS,7.0,13241.575,1157.0,30.4,2633.7670000000003,5.027618236541045,10600.808,5095.340327500001,901.8339710989967,13
Rio Maior,170,Empirical,CLS,LA,,,custom,PG-CLNS,4.0,13284.8,1453.0,1.9000000000000001,2564.146,5.180984234127073,10716.653999999999,5190.19176,1005.4860981220263,14
Rio Maior,170,Empirical,CLS,LA,,,bmc,PSOMA,5.0,13215.45,1291.0,2.85,2495.6339999999996,5.29542793534629,10714.816,5218.224164999999,825.9738409959828,14
Rio Maior,170,Empirical,CLS,LA,,,new,SANS,4.0,13300.95,2051.0,1.9000000000000001,3255.982,4.085080937179629,10040.968,4507.782515000001,851.5484179469931,14
Rio Maior,170,Empirical,CLS,LA,,,gurobi,SWC-TCF,4.0,13300.95,1375.0,1.9000000000000001,2740.9890000000005,4.852609769685321,10555.961,5022.775515000001,846.7016683279944,14
Rio Maior,170,Empirical,FTSP,LA,,,custom,ACO_HH,4.0,13268.175,1328.0,1.9000000000000001,3058.1369999999997,4.33864637195783,10206.038,4686.4967475,196.12017195099907,14
Rio Maior,170,Empirical,FTSP,LA,,,custom_bmc,ALNS,4.0,13280.525000000001,1419.0,1.9000000000000001,3231.041,4.110292936548933,10045.484,4520.801442499999,873.3238338489991,14
Rio Maior,170,Empirical,FTSP,LA,,,custom,BPC,4.0,13287.175,1388.0,1.9000000000000001,3168.179,4.193947059178158,10114.996,4587.5450475,501.1740881679998,14
Rio Maior,170,Empirical,FTSP,LA,,,custom_oi,HGS,4.0,13280.525000000001,1232.0,1.9000000000000001,3128.588,4.244894182295655,10147.937000000002,4623.2544425,945.1679107640011,14
Rio Maior,170,Empirical,FTSP,LA,,,custom,PG-CLNS,4.0,13284.8,1453.0,1.9000000000000001,3196.6710000000007,4.155823354983981,10084.128999999999,4557.666760000001,1026.6873878850001,14
Rio Maior,170,Empirical,FTSP,LA,,,bmc,PSOMA,5.0,13215.45,1292.0,2.85,3100.2809999999995,4.2626619974124935,10110.169000000002,4613.577164999999,852.9099322679995,14
Rio Maior,170,Empirical,FTSP,LA,,,new,SANS,4.0,13300.95,2052.0,1.9000000000000001,3814.239999999999,3.4871822433826933,9482.710000000003,3949.5245150000005,875.9498997049996,14
Rio Maior,170,Empirical,FTSP,LA,,,gurobi,SWC-TCF,4.0,13300.95,1382.0,1.9000000000000001,3356.547999999999,3.962687260840603,9940.402000000002,4407.216515000001,872.9422331599999,14
Rio Maior,170,Empirical,CLS,LM,CF70,,custom,ACO_HH,5.0,13422.55,1457.0,13.775000000000002,3383.128,3.967496943656876,10034.421999999999,4451.6144349999995,354.24831152499974,21
Rio Maior,170,Empirical,CLS,LM,CF70,,custom_bmc,ALNS,4.0,13572.175,1501.0,2.85,2910.7569999999996,4.662764703477481,10657.418,5011.3215475,1031.4115064329999,17
Rio Maior,170,Empirical,CLS,LM,CF70,,custom,BPC,6.0,13955.025,1514.0,11.400000000000002,3170.689,4.4012594738872215,10778.336,4974.8590925,704.2392310290015,19
Rio Maior,170,Empirical,CLS,LM,CF70,,custom_oi,HGS,9.0,13978.775,1251.0,13.774999999999999,2748.4049999999997,5.086140870795971,11221.369999999999,5411.005967500001,1449.725821838998,16
