0,192,211,340,505,754,787,894,904,991,993,995,1000,1171,1173,1174,1299,1301,1459,1496,1655,3224,3292,3315,5730,5752,5931,5933,5938,5940,5977,6077,6092,6908,6914,7244,7246,7255,7442,7445,7473,7937,7938,7940,7941,10835,11031,11213,11545,11552,11556,11562,11571,11778,11779,11781,11782,11787,11789,11790,11797,11800,11801,11805,11808,11809,11810,11811,11812,11813,11821,11824,11826,11829,11835,11838,11860,11883,11922,11983,11986,11989,11992,12036,12216,12344,12462,12482,13081,13578,13579,13592,13633,13647,13750,16132,17812,17956,18741,20710,22056
0.0,53.832,52.276,49.287,49.105,34.701,53.051,53.686,49.706,54.074,53.135,52.821,48.924,47.916,53.784,51.116,53.755,49.868,49.444,49.654,50.367,53.275,52.964,50.28,53.682,50.973,53.968,53.842,53.238,53.126,53.849,53.831,53.583,48.112,48.78,52.171,53.374,53.638,49.523,52.773,49.229,49.86,50.839,53.837,53.529,52.96,48.407,55.207,48.711,53.194,48.447,48.433,49.715,50.05,57.467,52.253,58.633,53.769,34.552,54.263,34.275,49.303,49.618,50.791,53.079,55.204,55.575,48.398,48.955,52.872,53.954,31.97,51.625,54.949,51.49,33.884,50.858,53.778,48.644,53.885,48.687,50.675,49.36,52.995,48.973,32.512,52.867,48.152,57.127,32.528,55.42,53.63,48.489,50.431,47.83,48.322,48.728,53.303,49.933,50.138,32.38
52.768,0.0,9.163,6.945,7.156,0.774,6.047,5.552,6.305,5.939,5.001,4.286,6.974,7.077,6.322,10.036,5.621,6.376,6.669,6.161,5.969,6.272,5.961,6.493,10.569,2.977,5.833,5.708,5.918,6.123,5.714,6.394,6.145,6.991,6.909,5.521,5.239,5.503,7.014,4.638,6.72,6.24,7.044,5.702,5.395,5.499,7.089,7.073,7.529,6.19,7.227,7.453,6.222,6.99,9.332,8.369,10.499,0.524,1.36,0.431,4.559,5.957,5.902,2.942,4.585,7.069,6.99,6.703,7.432,4.738,5.82,4.158,9.482,6.815,7.606,4.168,6.974,5.644,7.593,6.422,6.737,6.276,6.14,9.882,7.023,3.626,2.872,7.134,3.49,3.85,7.286,5.496,7.708,6.033,7.627,6.781,6.778,2.176,6.196,6.198,4.021
51.578,9.204,0.0,2.912,3.706,10.012,3.709,3.822,3.296,3.827,4.311,4.944,3.795,7.54,3.694,0.873,4.509,3.764,3.595,3.55,3.34,3.78,3.859,3.384,2.09,7.99,4.018,3.892,3.503,3.615,4.602,3.867,3.814,6.604,5.072,4.793,4.144,3.884,3.655,4.657,3.59,3.45,2.991,3.887,4.283,4.475,4.699,5.499,6.048,3.575,6.579,5.104,3.611,6.342,7.399,4.404,8.566,9.141,9.675,9.635,9.289,4.475,5.91,7.808,4.963,5.495,5.867,6.489,6.64,4.513,3.623,8.888,0.319,4.273,3.641,8.898,3.009,4.025,6.111,3.794,4.979,3.648,4.038,0.719,3.609,8.356,6.82,4.062,9.343,8.58,5.711,4.384,6.227,3.404,4.264,6.413,5.02,8.675,4.715,3.242,8.751
48.666,6.945,2.989,0.0,0.794,7.754,1.317,1.563,0.418,1.639,1.791,2.685,0.82,6.138,1.214,3.861,2.251,0.859,0.718,0.645,1.08,1.389,1.468,0.992,4.395,5.599,1.829,1.704,1.111,1.223,2.344,1.671,1.423,5.202,2.16,2.402,1.674,1.493,0.777,2.398,0.712,0.573,1.552,1.451,2.024,2.084,1.787,3.24,4.646,1.183,5.177,2.192,0.706,3.43,5.211,2.966,6.378,6.882,7.417,7.376,6.898,2.683,2.998,5.417,2.705,3.237,3.608,5.087,5.238,2.255,1.435,6.497,3.308,2.084,2.202,6.507,1.57,1.634,4.71,1.314,2.067,1.388,0.853,3.708,0.697,5.965,4.561,1.15,7.084,6.189,3.453,2.125,4.825,1.144,1.352,5.012,2.108,6.303,3.313,0.851,6.36
48.457,7.15,3.421,0.562,0.0,7.958,2.068,1.995,0.647,2.071,2.223,2.89,0.344,4.69,1.646,4.294,2.683,1.088,0.864,0.874,1.512,2.292,1.981,1.425,4.827,5.381,2.261,2.136,1.543,2.144,2.776,2.103,1.855,3.755,0.712,2.183,2.107,2.488,0.877,2.841,0.649,0.802,1.984,1.883,2.456,1.866,0.893,3.672,3.198,2.211,3.729,1.257,0.935,1.982,5.643,3.398,6.81,7.087,7.621,7.581,6.68,1.235,1.55,5.198,3.148,3.669,4.04,3.639,3.79,2.94,1.867,6.278,3.74,2.516,2.635,6.288,2.002,2.629,3.262,1.746,0.419,1.82,0.806,4.14,0.158,5.746,4.766,0.937,7.516,5.971,3.885,2.558,3.378,1.576,1.431,3.564,0.582,6.085,1.865,1.283,6.141
53.577,1.003,9.971,7.754,7.964,0.0,6.856,6.36,7.114,6.748,5.809,5.094,7.782,7.154,7.13,10.844,6.429,7.184,7.478,6.97,6.777,7.08,6.769,7.301,11.378,3.055,6.642,6.516,6.727,6.931,6.523,7.202,6.954,7.069,7.717,6.33,6.047,6.312,7.822,5.447,7.529,7.048,7.853,6.511,6.203,6.307,7.898,7.881,8.337,6.999,7.304,8.261,7.031,7.799,10.141,9.178,11.307,1.043,0.69,0.343,4.636,6.765,6.711,3.237,5.393,7.878,6.935,6.78,7.51,5.546,6.628,4.29,10.29,7.623,8.414,4.245,7.782,6.452,8.401,7.231,7.545,7.085,6.948,10.69,7.832,4.832,3.681,7.942,3.434,4.847,7.302,6.304,7.044,6.841,8.436,6.858,7.586,2.985,7.004,7.007,4.098
52.731,6.069,3.642,1.35,1.984,6.877,0.0,0.691,0.71,1.326,0.751,1.809,1.802,3.849,0.752,4.515,1.378,0.781,1.498,0.566,1.107,0.242,0.168,0.946,5.048,4.3,0.972,0.847,0.206,0.094,1.471,0.799,0.551,2.913,1.737,1.102,0.635,0.439,0.873,1.761,1.548,0.645,2.183,0.579,1.152,0.785,1.917,2.368,2.357,0.161,2.888,2.281,0.628,1.818,4.718,3.508,5.885,6.006,6.541,6.5,5.599,0.785,0.73,4.118,2.067,2.364,2.736,2.798,2.949,1.86,0.959,5.198,3.961,1.954,2.745,5.207,2.113,0.579,2.421,0.852,1.565,1.145,0.347,4.361,1.851,4.666,3.685,1.962,6.212,4.89,2.581,1.253,2.536,1.171,2.455,2.723,1.606,5.004,1.024,0.64,5.061
50.161,6.28,3.611,1.495,2.289,7.088,1.385,0.0,1.25,0.628,1.387,2.02,3.169,5.216,0.77,4.484,1.585,1.321,2.178,1.107,0.417,1.457,1.535,0.941,5.017,5.642,1.094,0.969,1.179,1.291,1.678,0.943,1.406,4.28,3.104,2.47,1.221,1.448,1.413,1.733,2.172,1.185,1.492,0.963,1.359,2.152,3.281,2.575,3.724,1.251,4.255,3.648,1.168,3.186,4.2,2.817,5.367,6.217,6.752,6.711,6.941,2.152,2.097,5.46,2.039,2.571,2.943,4.165,4.316,1.59,0.268,6.54,3.93,1.263,2.054,6.549,1.422,1.589,3.788,0.87,2.932,0.724,1.715,4.33,2.192,6.008,3.896,2.645,6.419,6.232,2.788,1.46,3.904,0.481,2.847,4.09,2.973,5.751,2.391,0.646,6.403
49.053,6.395,3.014,0.387,0.867,7.203,0.767,1.013,0.0,1.648,1.24,2.135,0.805,4.598,1.239,3.886,1.7,0.441,0.702,0.226,1.105,0.838,0.917,0.442,4.42,5.049,1.294,1.169,0.561,0.673,1.793,1.121,0.873,3.662,1.335,1.851,1.124,0.943,0.382,1.848,0.696,0.154,1.577,0.901,1.474,1.534,2.174,2.69,3.106,0.633,3.637,1.88,0.288,1.938,5.04,2.991,6.207,6.332,6.867,6.826,6.348,1.191,1.506,4.867,2.154,2.686,3.058,3.547,3.698,1.704,1.46,5.947,3.333,2.109,2.227,5.956,1.595,1.083,3.17,1.339,1.042,1.412,0.837,3.732,0.77,5.415,4.011,1.537,6.534,5.639,2.903,1.575,3.285,1.169,1.739,3.472,1.205,5.753,1.773,0.875,5.809
