n_bins,dist,run,policy_slug,n_days,overflows,kg,ncol,kg_lost,km,kg_per_km,reward,profit,time,days,policy,run_label
100,emp,la_ftsp,lookahead_aco_hh_custom_ftsp,30,7.0,7364.399999999999,694.0,42.275000000000006,1766.0610000000004,4.169957889336777,5591.338999999998,2532.53928,129.35036905599918,13.0,aco_hh,Lookahead+FTSP
100,emp,la_ftsp,lookahead_alns_custom_bmc_ftsp,30,7.0,7360.124999999999,731.0,42.275000000000006,1766.5080000000003,4.166482687879137,5586.616999999998,2529.5969625,809.7950882509977,13.0,alns,Lookahead+FTSP
100,emp,la_ftsp,lookahead_bpc_custom_ftsp,30,7.0,7360.124999999999,736.0,42.275000000000006,1778.736,4.137840016730982,5574.388999999999,2517.3689624999997,350.2861007569991,13.0,bpc,Lookahead+FTSP
100,emp,la_ftsp,lookahead_hgs_custom_oi_ftsp,30,7.0,7364.399999999999,604.0,42.275000000000006,1653.4660000000003,4.453916802643657,5703.933999999998,2645.13428,875.4986977820008,12.0,hgs,Lookahead+FTSP
100,emp,la_ftsp,lookahead_pg_clns_custom_ftsp,30,7.0,7364.399999999999,734.0,42.275000000000006,1793.47,4.106229822634334,5563.9299999999985,2505.13028,870.3945406679995,13.0,pg_clns,Lookahead+FTSP
100,emp,la_ftsp,lookahead_psoma_bmc_ftsp,30,7.0,7337.324999999999,560.0,46.075,1709.733,4.29150341018159,5620.591999999999,2573.0636025,369.3930563319991,13.0,psoma,Lookahead+FTSP
100,emp,la_ftsp,lookahead_sans_new_ftsp,30,7.0,7364.399999999999,1202.0,42.275000000000006,2123.083,3.4687292018258344,5234.316999999999,2175.51728,808.5594186920025,13.0,sans_new,Lookahead+FTSP
100,emp,la_ftsp,lookahead_swc_tcf_gurobi_ftsp,30,7.0,7364.399999999999,668.0,42.275000000000006,1812.713,4.062639811155985,5544.686999999999,2485.88728,614.1587119449978,13.0,swc_tcf,Lookahead+FTSP
100,emp,lm_ftsp,last_minute_cf70_aco_hh_custom_ftsp,30,3.0,7882.15,786.0,5.2250000000000005,2043.118,3.8579024804245274,5836.031999999999,2557.6929549999995,202.33142670899906,15.0,aco_hh,Last-Minute+FTSP
100,emp,lm_ftsp,last_minute_cf70_alns_custom_bmc_ftsp,30,3.0,7882.15,756.0,5.2250000000000005,1999.0420000000004,3.9429636796025287,5880.107999999999,2601.768955,943.1670945009992,15.0,alns,Last-Minute+FTSP
