0,192,197,209,211,340,505,629,754,787,892,904,991,993,995,1000,1171,1172,1173,1174,1298,1299,1301,1410,1459,1496,1606,1610,1621,1655,3224,3250,3292,3315,3317,5673,5730,5752,5815,5931,5933,5938,5940,5977,6046,6076,6077,6092,6225,6228,6234,6237,6240,6904,6908,6911,6914,6923,7244,7245,7442,7445,7473,7480,7702,7733,7937,7938,7939,7940,7941,10799,10835,11031,11213,11545,11552,11553,11554,11555,11556,11558,11561,11562,11565,11571,11591,11773,11774,11776,11778,11779,11781,11782,11783,11787,11789,11790,11791,11796,11797,11798,11800,11801,11802,11805,11806,11807,11808,11809,11810,11811,11812,11813,11817,11821,11824,11825,11826,11827,11829,11834,11835,11838,11840,11842,11854,11859,11860,11861,11862,11869,11873,11883,11922,11983,11986,11989,11992,12036,12216,12290,12291,12344,12462,12482,12674,12837,13003,13081,13138,13578,13579,13592,13633,13647,13750,16132,16176,16540,16825,17812,17956,18139,18141,18741,20180,20710,20894,22050,22056
0.0,53.832,62.156,60.173,52.276,49.287,49.105,61.768,34.701,53.051,60.355,49.706,54.074,53.135,52.821,48.924,47.916,59.411,53.784,51.116,63.566,53.755,49.868,60.221,49.444,49.654,34.18,36.982,60.038,50.367,53.275,62.969,52.964,50.28,57.955,57.179,53.682,50.973,56.438,53.968,53.842,53.238,53.126,53.849,59.625,33.242,53.831,53.583,63.036,28.801,66.745,56.085,56.092,64.067,48.112,60.722,48.78,58.532,52.171,56.86,49.523,52.773,49.229,39.577,33.676,37.078,49.86,50.839,62.908,53.837,53.529,59.899,52.96,48.407,55.207,48.711,53.194,51.099,45.175,60.223,48.447,61.354,59.128,48.433,59.141,49.715,60.486,61.326,58.678,62.487,50.05,57.467,52.253,58.633,60.621,53.769,34.552,54.263,56.532,63.873,34.275,58.019,49.303,49.618,28.524,50.791,64.082,61.396,53.079,55.204,55.575,48.398,48.955,52.872,36.701,53.954,31.97,44.984,51.625,55.114,54.949,29.535,51.49,33.884,31.206,61.227,60.22,67.82,50.858,29.507,58.58,32.862,36.8,53.778,48.644,53.885,48.687,50.675,49.36,52.995,48.973,61.028,64.115,32.512,52.867,48.152,58.305,50.904,60.377,57.127,63.023,32.528,55.42,53.63,48.489,50.431,47.83,48.322,63.648,58.894,61.669,48.728,53.303,60.101,40.035,49.933,63.835,50.138,60.648,59.169,32.38
52.768,0.0,6.144,17.059,9.163,6.945,7.156,11.305,0.774,6.047,17.242,6.305,5.939,5.001,4.286,6.974,7.077,11.067,6.322,10.036,15.432,5.621,6.376,12.087,6.669,6.161,5.989,8.294,11.904,5.969,6.272,19.856,5.961,6.493,14.842,14.066,10.569,2.977,2.801,5.833,5.708,5.918,6.123,5.714,11.282,5.702,6.394,6.145,14.901,7.584,13.751,2.448,12.979,11.948,6.991,17.608,6.909,4.895,5.521,3.223,7.014,4.638,6.72,8.897,6.136,8.389,6.24,7.044,14.774,5.702,5.395,7.987,5.499,7.089,7.073,7.529,6.19,10.408,14.456,17.11,7.227,18.241,17.698,7.453,14.542,6.222,17.373,7.756,5.041,7.706,6.99,9.332,8.369,10.499,12.486,0.524,1.36,0.431,2.895,10.878,4.559,4.382,5.957,5.902,7.531,2.942,6.111,13.052,4.585,7.069,6.99,6.703,7.432,4.738,7.786,5.82,4.158,14.265,9.482,12.001,6.815,8.041,7.606,4.168,4.166,6.534,6.583,14.826,6.974,7.313,4.943,5.315,8.804,5.644,7.593,6.422,6.737,6.276,6.14,9.882,7.023,17.915,21.002,3.626,2.872,7.134,13.706,10.212,12.242,3.49,14.889,3.85,7.286,5.496,7.708,6.033,7.627,6.781,12.36,10.76,8.575,6.778,2.176,16.987,9.08,6.196,10.841,6.198,12.513,10.826,4.021
58.718,6.144,0.0,23.009,15.112,12.895,13.105,5.704,6.089,11.997,23.192,12.255,11.889,10.95,10.235,12.923,13.026,3.659,12.271,15.985,15.046,11.57,12.325,15.664,12.619,12.111,6.143,4.55,17.853,11.918,12.221,24.887,11.91,12.442,20.791,20.016,16.519,8.927,3.713,11.783,11.657,11.868,12.072,11.664,3.874,7.081,12.343,12.095,14.418,13.534,11.064,3.731,18.928,6.347,12.94,22.042,12.858,1.66,11.471,2.922,12.963,10.588,12.67,5.153,6.697,4.646,12.189,12.994,13.954,11.652,11.344,2.386,11.448,13.039,9.946,13.478,12.14,16.357,20.405,20.956,13.176,23.114,23.648,13.402,20.492,12.172,22.403,1.612,1.103,6.759,12.94,15.282,14.319,16.448,14.362,6.184,6.779,6.575,3.592,8.191,10.508,1.81,11.906,11.852,13.481,8.891,5.277,5.148,10.534,10.109,9.655,12.652,13.382,10.687,4.042,11.769,10.107,20.214,15.431,17.95,12.764,13.99,13.555,10.117,9.584,0.933,4.088,12.139,12.923,13.262,1.262,7.08,5.06,11.593,13.542,12.372,12.686,12.226,12.089,15.831,12.973,23.865,26.032,9.575,8.822,13.083,19.655,16.162,18.192,6.756,14.503,9.799,10.023,11.445,13.658,11.982,13.577,12.73,6.759,16.709,5.987,12.727,8.126,22.937,5.336,12.145,8.154,12.148,18.463,2.987,9.97
59.475,17.1,23.341,0.0,7.896,10.808,11.602,26.9,17.908,11.605,2.127,11.192,11.724,12.207,12.84,11.692,15.436,24.543,11.59,8.708,11.068,12.405,11.66,11.648,11.492,11.446,22.895,25.199,9.296,11.237,11.677,4.335,11.755,11.28,2.218,4.146,6.657,15.887,19.706,11.914,11.789,11.399,11.511,12.499,24.758,22.455,11.763,11.711,12.077,17.47,15.325,19.353,4.081,29.2,14.5,2.385,12.969,22.231,12.689,20.128,11.551,12.553,11.486,25.802,22.889,25.295,11.347,10.887,12.208,11.783,12.179,25.032,12.372,12.595,13.395,13.944,11.471,9.147,18.676,3.468,14.475,1.848,0.639,13.0,11.522,11.507,2.562,21.174,21.946,19.659,14.239,11.867,9.9,10.701,12.047,17.037,17.572,17.531,19.8,17.099,17.186,21.287,12.372,13.807,17.417,15.705,18.064,26.528,12.859,13.391,13.763,14.385,14.536,12.41,24.691,11.52,16.785,18.485,8.155,5.226,12.169,17.926,10.146,16.794,17.58,22.867,19.249,21.047,10.905,17.198,22.131,22.068,25.71,11.921,14.008,11.69,12.875,11.544,11.934,7.178,11.506,1.523,5.481,16.253,14.716,11.958,9.872,8.952,8.957,17.239,11.605,16.477,13.608,12.28,14.123,11.301,12.16,14.31,28.78,10.44,18.78,12.916,16.571,0.241,25.985,12.611,17.062,11.138,8.982,24.302,16.648
51.578,9.204,15.445,7.896,0.0,2.912,3.706,19.004,10.012,3.709,8.079,3.296,3.827,4.311,4.944,3.795,7.54,16.647,3.694,0.873,13.499,4.509,3.764,10.154,3.595,3.55,14.998,17.303,9.971,3.34,3.78,10.693,3.859,3.384,5.678,5.588,2.09,7.99,11.81,4.018,3.892,3.503,3.615,4.602,16.861,14.559,3.867,3.814,12.968,9.573,15.958,11.457,3.816,21.304,6.604,8.445,5.072,14.334,4.793,12.231,3.655,4.657,3.59,17.906,14.993,17.398,3.45,2.991,12.841,3.887,4.283,17.135,4.475,4.699,5.499,6.048,3.575,2.332,10.779,9.529,6.579,9.078,8.535,5.104,4.706,3.611,8.21,13.278,14.05,11.763,6.342,7.399,4.404,8.566,10.553,9.141,9.675,9.635,11.904,14.934,9.289,13.391,4.475,5.91,9.52,7.808,10.167,18.632,4.963,5.495,5.867,6.489,6.64,4.513,16.794,3.623,8.888,10.588,0.319,3.522,4.273,10.03,3.641,8.898,9.683,14.971,11.353,18.882,3.009,9.301,14.234,14.172,17.813,4.025,6.111,3.794,4.979,3.648,4.038,0.719,3.609,8.752,11.839,8.356,6.82,4.062,3.056,2.136,7.002,9.343,12.956,8.58,5.711,4.384,6.227,3.404,4.264,6.413,20.884,8.827,12.632,5.02,8.675,7.824,18.089,4.715,14.897,3.242,7.027,16.406,8.751
48.666,6.945,13.186,10.885,2.989,0.0,0.794,16.746,7.754,1.317,11.068,0.418,1.639,1.791,2.685,0.82,6.138,14.389,1.214,3.861,11.31,2.251,0.859,7.965,0.718,0.645,14.162,15.044,7.783,1.08,1.389,13.682,1.468,0.992,8.667,7.892,4.395,5.599,9.551,1.829,1.704,1.111,1.223,2.344,14.603,13.224,1.671,1.423,10.78,8.172,13.77,9.199,6.804,19.045,5.202,11.434,2.16,12.076,2.402,9.973,0.777,2.398,0.712,15.647,13.658,15.14,0.573,1.552,10.653,1.451,2.024,14.877,2.084,1.787,3.24,4.646,1.183,3.884,7.867,10.936,5.177,12.067,11.524,2.192,6.259,0.706,11.199,11.019,11.792,9.504,3.43,5.211,2.966,6.378,8.365,6.882,7.417,7.376,9.645,12.676,6.898,11.132,2.683,2.998,8.119,5.417,7.909,16.373,2.705,3.237,3.608,5.087,5.238,2.255,14.536,1.435,6.497,7.676,3.308,5.827,2.084,8.628,2.202,6.507,7.292,12.712,9.094,16.623,1.57,7.9,11.976,12.844,15.555,1.634,4.71,1.314,2.067,1.388,0.853,3.708,0.697,11.741,14.827,5.965,4.561,1.15,4.608,3.689,8.121,7.084,10.767,6.189,3.453,2.125,4.825,1.144,1.352,5.012,18.626,6.638,10.373,2.108,6.303,10.813,15.831,3.313,12.639,0.851,8.392,14.147,6.36
48.457,7.15,13.099,11.317,3.421,0.562,0.0,16.95,7.958,2.068,11.5,0.647,2.071,2.223,2.89,0.344,4.69,14.593,1.646,4.294,11.742,2.683,1.088,8.397,0.864,0.874,13.944,15.249,8.215,1.512,2.292,14.114,1.981,1.425,9.1,8.324,4.827,5.381,9.756,2.261,2.136,1.543,2.144,2.776,14.807,13.006,2.103,1.855,11.212,6.724,14.202,9.403,7.237,19.25,3.755,11.866,0.712,11.85,2.183,10.177,0.877,2.841,0.649,15.852,13.439,15.344,0.802,1.984,11.085,1.883,2.456,15.082,1.866,0.893,3.672,3.198,2.211,4.211,6.703,11.368,3.729,12.499,11.956,1.257,6.586,0.935,11.631,11.452,11.996,9.936,1.982,5.643,3.398,6.81,8.797,7.087,7.621,7.581,9.85,13.108,6.68,11.337,1.235,1.55,6.671,5.198,8.341,16.578,3.148,3.669,4.04,3.639,3.79,2.94,14.74,1.867,6.278,7.468,3.74,6.259,2.516,7.181,2.635,6.288,7.073,16.409,9.526,17.056,2.002,6.452,11.897,12.626,15.759,2.629,3.262,1.746,0.419,1.82,0.806,4.14,0.158,12.173,15.26,5.746,4.766,0.937,4.936,4.016,8.553,7.516,11.199,5.971,3.885,2.558,3.378,1.576,1.431,3.564,18.83,7.07,10.805,0.582,6.085,11.245,16.035,1.865,13.071,1.283,8.824,14.352,6.141
62.096,11.305,5.704,27.282,19.385,17.168,17.378,0.0,11.249,16.269,22.164,16.528,16.162,15.223,14.508,17.196,19.243,2.497,16.544,20.258,14.657,15.843,16.598,15.275,16.892,16.384,11.304,9.711,17.125,16.191,16.494,24.498,16.183,16.715,25.064,24.289,20.792,14.332,8.874,16.056,15.93,16.141,16.345,15.936,2.407,12.242,16.616,16.368,14.03,18.939,10.675,8.891,23.201,2.726,18.308,21.653,17.131,6.82,15.744,8.082,17.236,14.861,16.943,5.867,11.858,8.381,16.462,17.267,13.566,15.925,15.617,3.263,15.721,17.312,12.681,17.751,16.413,26.381,23.783,20.567,18.282,22.725,27.921,17.675,26.238,16.445,22.015,4.689,6.264,6.417,17.213,19.554,18.592,16.36,13.973,11.345,11.94,11.736,8.753,7.803,15.913,6.971,16.179,16.125,18.886,14.297,8.012,0.369,14.807,12.843,12.39,18.192,18.343,14.96,9.202,16.042,15.512,23.592,19.704,22.223,17.037,19.396,17.828,15.522,19.409,4.966,9.718,11.75,17.196,18.667,6.868,12.241,10.221,15.866,17.815,16.645,16.959,16.498,16.362,20.104,17.246,22.837,25.643,14.98,13.095,17.356,25.402,26.422,17.463,10.686,14.114,15.204,12.757,15.718,17.931,16.255,17.85,18.117,2.306,16.1,5.599,17.0,13.531,27.21,5.497,16.418,7.765,16.421,17.3,2.599,15.375
53.577,1.003,6.089,17.868,9.971,7.754,7.964,11.249,0.0,6.856,18.051,7.114,6.748,5.809,5.094,7.782,7.154,9.205,7.13,10.844,16.24,6.429,7.184,12.895,7.478,6.97,5.97,8.238,12.712,6.777,7.08,20.665,6.769,7.301,15.65,14.875,11.378,3.055,2.745,6.642,6.516,6.727,6.931,6.523,9.419,5.032,7.202,6.954,15.71,7.662,13.695,2.393,13.787,11.892,7.069,18.417,7.717,4.84,6.33,3.167,7.822,5.447,7.529,8.841,5.466,8.334,7.048,7.853,15.582,6.511,6.203,7.931,6.307,7.898,7.881,8.337,6.999,11.216,15.264,17.918,7.304,19.049,18.507,8.261,14.62,7.031,18.181,7.701,4.986,7.651,7.799,10.141,9.178,11.307,13.295,1.043,0.69,0.343,2.839,10.823,4.636,4.326,6.765,6.711,7.609,3.237,6.056,10.693,5.393,7.878,6.935,6.78,7.51,5.546,7.73,6.628,4.29,15.073,10.29,12.809,7.623,8.119,8.414,4.245,3.495,6.479,6.528,14.77,7.782,7.39,4.887,4.645,8.749,6.452,8.401,7.231,7.545,7.085,6.948,10.69,7.832,18.724,21.81,4.832,3.681,7.942,13.784,11.021,13.051,3.434,15.697,4.847,7.302,6.304,7.044,6.841,8.436,6.858,12.305,11.568,8.52,7.586,2.985,17.796,9.025,7.004,10.786,7.007,13.322,8.533,4.098
